,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Океанографы,Руаль Амундсен,Эстфолл,Баренцево море,1872-07-16,1928-06-18,20,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D1%83%D0%BD%D0%B4%D1%81%D0%B5%D0%BD,_%D0%A0%D1%83%D0%B0%D0%BB%D1%8C"
1,Океанографы,Фаддей Фаддеевич Беллинсгаузен,Губерния Эзель Российская Лифляндская империя,Кронштадт губерния Российская Санкт-Петербургская империя,1778,1852,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BB%D0%B8%D0%BD%D1%81%D0%B3%D0%B0%D1%83%D0%B7%D0%B5%D0%BD,_%D0%A4%D0%B0%D0%B4%D0%B4%D0%B5%D0%B9_%D0%A4%D0%B0%D0%B4%D0%B4%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
2,Океанографы,Вильгельм Фриман Корен Бьеркнес,Кристиания Норвегия,Осло Норвегия,1862-03-14,1951-04-09,0,"https://ru.wikipedia.org/wiki/%D0%91%D1%8C%D0%B5%D1%80%D0%BA%D0%BD%D0%B5%D1%81,_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC_%D0%A4%D1%80%D0%B8%D0%BC%D0%B0%D0%BD_%D0%9A%D0%BE%D1%80%D0%B5%D0%BD"
3,Океанографы,Андрей Ипполитович Вилькицкий,Губерния Борисовский Минская уезд,Петербург,1858-06-13,1913-03-11,6,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D0%BA%D0%B8%D1%86%D0%BA%D0%B8%D0%B9,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%98%D0%BF%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%BE%D0%B2%D0%B8%D1%87"
4,Океанографы,Борис Андреевич Вилькицкий,Губерния Царскосельский уезд Российская Санкт-Петербургская империя Пулково,Столичный Бельгия регион Брюссельский,1885,1961-03-06,14,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BB%D1%8C%D0%BA%D0%B8%D1%86%D0%BA%D0%B8%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
5,Океанографы,Яков Яковлевич Гаккель,Санкт-Петербург империя Российская,Ленинград СССР РСФСР,1901-07-18,1965-12-30,7,"https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BA%D0%BA%D0%B5%D0%BB%D1%8C,_%D0%AF%D0%BA%D0%BE%D0%B2_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87"
6,Океанографы,Евгений Куприянович Гницевич,УССР СССР Донецк,Федерация Санкт-Петербург Российская,1928,2001-03-20,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%BD%D0%B8%D1%86%D0%B5%D0%B2%D0%B8%D1%87,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
7,Океанографы,Ашанти Джонсон,США,,,,0,"https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D0%BE%D0%BD,_%D0%90%D1%88%D0%B0%D0%BD%D1%82%D0%B8"
8,Океанографы,Луи Исидор Дюперре,Королевство Париж Франция,Париж Франция,1786-10-22,1865-08-25,0,"https://ru.wikipedia.org/wiki/%D0%94%D1%8E%D0%BF%D0%B5%D1%80%D1%80%D0%B5,_%D0%9B%D1%83%D0%B8_%D0%98%D1%81%D0%B8%D0%B4%D0%BE%D1%80"
9,Океанографы,Николай Иванович Евгенов,Российская империя Новгородская губерния,Ленинград СССР,1888-08-15,1964-05-13,8,"https://ru.wikipedia.org/wiki/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87"
